Asunnon tyyppi,Sijanti,Hinta,Koko,Rakennus vuosi
Kerrostalo | 2h + k + kph + wc,"Ilmarisenkatu 11, Keskusta, Jyväskylä",95 000 €,"51,5 m²",1962
-1,-1,-1,-1,-1
Kerrostalo | 2h + kk + ph + s,"Vaasankatu 2 A, Keskusta, Jyväskylä",162 000 €,51 m²,2018
"Kerrostalo | 1h, kk, kph, las.p.","Karpalokuja 2, Kangaslampi, Jyväskylä",49 500 €,36 m²,1979
-1,-1,-1,-1,-1
Omakotitalo | Oh + k + 4mh + kh + wc + khh + ph + s + vh + at + ak,"Velhottarentie 13, Mustalampi, Jyväskylä",224 000 €,117 m²,2002
-1,-1,-1,-1,-1
Kerrostalo | 2h + kt + s,"Satamakatu 13, Satamakatu, Jyväskylä",219 000 €,"47,5 m²",2017
-1,-1,-1,-1,-1
"Kerrostalo | 1h, kk, kph, las.p","Korkeakoskentie 27, Keljo, Jyväskylä",109 000 €,"23,5 m²",2018
Kerrostalo | 3H + K + S,"Huhtalammentie 11 as 11, Ylämyllyjärvi, Jyväskylä","20 992,9 €",74 m²,2002
Rivitalo | 4h + k + s,"Pärnäsentie 10 B, Palokka, Jyväskylä",184 000 €,"83,5 m²",1998
"Kerrostalo | 2h, k, kph, p","Karpalokuja 1, Kangaslampi, Jyväskylä",49 000 €,58 m²,1979
Omakotitalo | 4mh + oh + k + khh + kph + s + 2wc + pannuhuone,"Mutapohja 32, Palokka, Jyväskylä",315 000 €,158 m²,2001
-1,-1,-1,-1,-1
"Rivitalo | 3h, k, wc, kph, s, khh, vh","Lampitie 2, Kuokkalanpelto, Jyväskylä",139 000 €,78 m²,1989
"Rivitalo | 3h, k, s","Ylistönmäentie 2, Ristonmaa, Jyväskylä",149 000 €,79 m²,1987
"Kerrostalo | 2 huonetta, keittiö, kylpyhuone, sauna","Yliopistonkatu 21 a, Keskusta, Jyväskylä",105 000 €,"42,5 m²",1981
-1,-1,-1,-1,-1
-1,-1,-1,-1,-1
-1,-1,-1,-1,-1
-1,-1,-1,-1,-1
-1,-1,-1,-1,-1
-1,-1,-1,-1,-1
-1,-1,-1,-1,-1
Kerrostalo | 4h + k + kph / wc + wc / khh + parveke,"Vesmannintie 6, Vaajakoski, Jyväskylä",75 000 €,86 m²,1963
Luhtitalo | 1h + k + kh + s + iso lasitettu parveke,"Martinpolku 13 A, Korpilahti, Jyväskylä",53 000 €,37 m²,1990
-1,-1,-1,-1,-1
-1,-1,-1,-1,-1
Kerrostalo | 3h + k + wc + vh + kh + s + p,"Vehkakatu 10 A, Jyväskylä",229 000 €,66 m²,2015
"Omakotitalo | 5h, keittiö, ruokailu, khh, arkieteinen, wc, kph,","Hallavaara 25, Puuppola, Jyväskylä",200 000 €,"184,8 m²",2004
"Rivitalo | 2h, k, s","Tarmolankuja 4, Kirri, Jyväskylä",119 000 €,60 m²,2000
Kerrostalo | 1h + tupak,"Visakoivunkuja 11, Kuokkala, Jyväskylä",79 900 €,"21,5 m²",2017
Kerrostalo | 2h + k + s,"Mannisenrinne 7, Mannisenmäki, Jyväskylä","22 718,61 €",54 m²,2017
"Kerrostalo | 3h, k, s, erill.wc, vh, lasitt.p","Polttolinja 17, Kuokkala, Jyväskylä",115 000 €,"72,5 m²",1990
"Omakotitalo | 5h, k, apk / th, vh, aula, et, kph x 2, wc, s, p","Oskarinkatu 41, Tikkakoski, Jyväskylä",237 000 €,164 m²,-
Kerrostalo | 2h + avok + kph + s + las.parv,"Vehkakuja 4 B 20, Savela, Jyväskylä",170 000 €,52 m²,2018
Kerrostalo | 1h + k,"Vellamonkatu 6, Mäki-Matti, Jyväskylä",96 000 €,"31,5 m²",1963
"Kerrostalo | 2h, k, kph, las.p.","Väliaitankatu 3, Aittorinne, Jyväskylä",89 000 €,51 m²,1967
Omakotitalo | Oh + k + 4mh + 2wc + ph + s + khh + vh + at,"Marjaanantie 8, Korpilahti, Jyväskylä",259 000 €,140 m²,2009
"Kerrostalo | 2 huonetta, avokeittiö, sauna, pesuhuone, erill. w","Mäntyniementie 19 C, Nenäinniemi, Jyväskylä",114 900 €,56 m²,1996
"Kerrostalo | 3h, avokeittiö, olohuone, vh, sauna, pesuhuone, er","Mäntyniementie 19 A, Nenäinniemi, Jyväskylä",194 000 €,96 m²,1996
"Kerrostalo | 2h, k, kh, p","Tavintie 3, Kivistö, Jyväskylä",89 000 €,55 m²,1975
-1,-1,-1,-1,-1
-1,-1,-1,-1,-1
Kerrostalo | 2h + k + s + vh + lasp,"Pehtorintie 4 A14, Kortepohja, Jyväskylä",204 000 €,"58,5 m²",2014
Kerrostalo | 2h + k + kph + vh + lasp,"Vaasankatu 7, Keskusta, Jyväskylä",146 500 €,58 m²,1960
"Omakotitalo | 5-6h, k, rt, khh, kph, s, 2xwc, at","Mäystintie 5, Samulinniemi, Jyväskylä",485 000 €,179 m²,2014
"Rivitalo | 2h, k, s, kph, wc, vh","Päijänteentie 2, Korpilahti, Jyväskylä",67 000 €,64 m²,1979
Kerrostalo | 2h + kk + kph,"Rajakatu 34, Taulumäki, Jyväskylä",113 000 €,"42,5 m²",1954
Kerrostalo | 3h + k + p,"Saihokatu 1 A, Köhniö, Jyväskylä",109 000 €,77 m²,1966
Rivitalo | 3h + k + s,"Naalinpolku 4, Palokka, Jyväskylä",135 000 €,"77,5 m²",1982
"Omakotitalo | 7h, 2xk, rt, 3xwc, saunaos., varasto-työskentelytilat","Enninpolku 15, Korpilahti, Jyväskylä",239 000 €,183 m²,1953
"Rivitalo | 3h, k, s, terassi","Hietikkotie 1, Terttumäki, Jyväskylä",175 000 €,"75,5 m²",2006
Rivitalo | 5h + k + s + 2kph / wc + erillinen wc,"Syrjälänkatu 41, Mäki-Matti, Jyväskylä",265 000 €,"119,5 m²",1994
Rivitalo | 3h + k + s,"Tervaruukinkatu 12 D, Tikkakoski, Jyväskylä",122 000 €,83 m²,1989
"Kerrostalo | 2h, k, kh, lasitettu parveke","Haavikatu 2-4 B, Lohikoski, Jyväskylä",89 000 €,"62,5 m²",1969
Kerrostalo | 2h + k + kh + s + p,"Betonitie 6 A, Huhtasuo, Jyväskylä",79 000 €,50 m²,1990
Kerrostalo | 2H + KT + PH + S + lasitettu parveke + varasto,"Tahvosentie 24, Äijälä,, Kuokkala Jyväskylä",165 000 €,52 m²,2011
Kerrostalo | 2h + k + s + lasit.parv.,"Syöttäjänkatu 1, Kuokkala, Jyväskylä",181 000 €,"54,5 m²",2014
Kerrostalo | 4h + k + vh + wc + lasp,"Taimistontie 6, Kangaslampi, Jyväskylä",109 000 €,90 m²,-
"Kerrostalo | 3h, k, s","Kolmospesänkatu 5, Kuokkala, Jyväskylä",125 000 €,78 m²,1991
"Kerrostalo | 2h, k, kph, p","Kaakonsiipi 8, Sulku, Jyväskylä",39 000 €,60 m²,1978
Kerrostalo | 2h + k + kph + las.terassi,"Vehkakuja 4 B 5, Savela, Jyväskylä",148 000 €,"46,5 m²",2018
"Kerrostalo | 3h, k, kph + lasitettu parveke","Haperontie 7, Keltinmäki, Jyväskylä",84 900 €,76 m²,1982
-1,-1,-1,-1,-1
-1,-1,-1,-1,-1
-1,-1,-1,-1,-1
-1,-1,-1,-1,-1
-1,-1,-1,-1,-1
-1,-1,-1,-1,-1
Omakotitalo | Oh + 2mh + k + rt + s + kh + 2wc + at,"Haapa-Heikintie 24, Jyskä, Jyväskylä",146 000 €,100 m²,1952
"Kerrostalo | 4h, k, s","Takalankuja 2, Laajavuori, Jyväskylä",119 000 €,90 m²,1972
Kerrostalo | 2h + k + kph,"Ilmarisenkatu 4, Keskusta, Jyväskylä",119 000 €,"38,5 m²",1962
Kerrostalo | 3h + k + vh + kph + p,"Vapaudenkatu 14, Keskusta, Jyväskylä",197 407 €,73 m²,1958
Kerrostalo | 1h + kk + kph + p,"Viitaniementie 19, Viitaniemi, Jyväskylä","94 874,8 €","26,5 m²",1963
"Omakotitalo | 4h, k, kph, s, 2xwc","Huugontie 15, Säynätsalo, Jyväskylä",139 000 €,100 m²,1979
-1,-1,-1,-1,-1
-1,-1,-1,-1,-1
-1,-1,-1,-1,-1
-1,-1,-1,-1,-1
-1,-1,-1,-1,-1
-1,-1,-1,-1,-1
-1,-1,-1,-1,-1
-1,-1,-1,-1,-1
-1,-1,-1,-1,-1
-1,-1,-1,-1,-1
-1,-1,-1,-1,-1
-1,-1,-1,-1,-1
-1,-1,-1,-1,-1
-1,-1,-1,-1,-1
-1,-1,-1,-1,-1
-1,-1,-1,-1,-1
-1,-1,-1,-1,-1
-1,-1,-1,-1,-1
-1,-1,-1,-1,-1
-1,-1,-1,-1,-1
Rivitalo | 2h + k + kph + s,"Ritoharjuntie 8, Palokka, Jyväskylä",132 000 €,63 m²,1988
"Kerrostalo | 3h, k, kph, vh, p","Kirkkotie 4 A, Vaajakoski, Jyväskylä",68 000 €,77 m²,1967
Rivitalo | 4h + k + kph + s + wc + 2xlasit. ter.,"Hauhontie 35, Nenäinniemi, Jyväskylä",199 000 €,97 m²,1989
-1,-1,-1,-1,-1
Rivitalo | 4h + k + kph + wc + vh,"Airanteentie 1-3 as 6, Palokka, Jyväskylä",149 900 €,92 m²,1972
"Kerrostalo | Oh / th / rh, 2mh, k, s, kh, wc + 2xlasit.p","Puistokatu 5, Keskusta, Jyväskylä",319 000 €,120 m²,1962
"Omakotitalo | Ak: k, oh, 2mh, et, kh Yk: kk, 2mh, et, wc Kellari: s, ph","Keskikatu 50, Nisula, Jyväskylä",178 000 €,131 m²,1958
"Kerrostalo | 3h, k, parveke","Haperontie 2-4, Keltinmäki, Jyväskylä",59 000 €,74 m²,1976
"Kerrostalo | 3h, keittiö, kph, parveke","Tyyppäläntie 11 C, Lohikoski, Jyväskylä",90 000 €,70 m²,1968
"Rivitalo | 3-4 huonetta, k, rt, khh, 2*kph, sauna, takkahuone","Hongikontie 5 C, Taulumäki, Jyväskylä",468 000 €,154 m²,2011
"Kerrostalo | 2h, k, s, kph, las.p","Vapaudenkatu 35, Keskusta, Jyväskylä",244 000 €,66 m²,2014
Rivitalo | 2h + k + kh + s,"Laamannintie 4, Jyskä, Jyväskylä",118 000 €,"54,5 m²",1994
Kerrostalo | 2h + kk + kph + vh + las.p,"Myllylammentie 2-4, Myllyjärvi, Jyväskylä",49 500 €,49 m²,1978
Kerrostalo | 1h + kt + kph + ransk.parveke,"Sulkulantie 17, Kuokkala, Jyväskylä",105 000 €,28 m²,2018
-1,-1,-1,-1,-1
-1,-1,-1,-1,-1
-1,-1,-1,-1,-1
-1,-1,-1,-1,-1
-1,-1,-1,-1,-1
-1,-1,-1,-1,-1
-1,-1,-1,-1,-1
-1,-1,-1,-1,-1
-1,-1,-1,-1,-1
-1,-1,-1,-1,-1
-1,-1,-1,-1,-1
-1,-1,-1,-1,-1
-1,-1,-1,-1,-1
-1,-1,-1,-1,-1
-1,-1,-1,-1,-1
-1,-1,-1,-1,-1
-1,-1,-1,-1,-1
-1,-1,-1,-1,-1
-1,-1,-1,-1,-1
-1,-1,-1,-1,-1
-1,-1,-1,-1,-1
-1,-1,-1,-1,-1
-1,-1,-1,-1,-1
-1,-1,-1,-1,-1
-1,-1,-1,-1,-1
-1,-1,-1,-1,-1
-1,-1,-1,-1,-1
-1,-1,-1,-1,-1
-1,-1,-1,-1,-1
-1,-1,-1,-1,-1
-1,-1,-1,-1,-1
-1,-1,-1,-1,-1
-1,-1,-1,-1,-1
-1,-1,-1,-1,-1
-1,-1,-1,-1,-1
-1,-1,-1,-1,-1
-1,-1,-1,-1,-1
-1,-1,-1,-1,-1
-1,-1,-1,-1,-1
-1,-1,-1,-1,-1
-1,-1,-1,-1,-1
-1,-1,-1,-1,-1
-1,-1,-1,-1,-1
-1,-1,-1,-1,-1
-1,-1,-1,-1,-1
-1,-1,-1,-1,-1
-1,-1,-1,-1,-1
-1,-1,-1,-1,-1
-1,-1,-1,-1,-1
-1,-1,-1,-1,-1
Kerrostalo | 2H + KT + S,"Huhtalammentie 11 as 09, Ylämyllyjärvi, Jyväskylä","14 690,06 €",49 m²,2002
Kerrostalo | 2H + KT + S,"Laurinpolku 5 B 19, Ristonmaa, Jyväskylä","17 046,74 €","49,5 m²",2003
Kerrostalo | 2H + KT + S,"Huhtalammentie 5 as 13, Ylämyllyjärvi, Jyväskylä","15 441,32 €",49 m²,2000
-1,-1,-1,-1,-1
-1,-1,-1,-1,-1
-1,-1,-1,-1,-1
-1,-1,-1,-1,-1
Kerrostalo | 2H + KT + S,"Huhtalammentie 5 as 15, Ylämyllyjärvi, Jyväskylä","15 145,88 €",49 m²,2000
Kerrostalo | 4h + k,"Linnantie 3, Vaajakoski, Jyväskylä",115 000 €,82 m²,1972
Rivitalo | 3h + k + khh + kph + s + wc,"Hirvirinne 2 a 4, Nenäinniemi, Jyväskylä",185 000 €,84 m²,2005
"Kerrostalo | 1h, kk, kph, parveke","Nuottakatu 3 A, Lohikoski, Jyväskylä",59 900 €,"31,5 m²",1968
"Rivitalo | 4h, k, s","Alakivi 3 B, Myllyjärvi, Jyväskylä",89 000 €,102 m²,1981
Kerrostalo | 3h + k + kph + lasit.p,"Tiilitehtaantie 60, Palokka, Jyväskylä",149 900 €,52 m²,2017
"Kerrostalo | 4h, k, s","Kolmospesänkatu 2, Kuokkala, Jyväskylä",120 000 €,86 m²,1989
"Kerrostalo | 3h, k, kph","Tyyppäläntie 11, Lohikoski, Jyväskylä",69 000 €,77 m²,1968
"Omakotitalo | 2x 3h, k, wc, p","Peltokatu 16, Tarhamäki, Jyväskylä",250 000 €,176 m²,1968
"Rivitalo | 2h, k, s, kph, vh, var, ter","Opettajantie 7-9, Säynätsalo, Jyväskylä",79 000 €,64 m²,1982
-1,-1,-1,-1,-1
-1,-1,-1,-1,-1
Rivitalo | 3h + k + s,"Asmalammentie 10, Jyskä, Jyväskylä","26 892,53 €","83,5 m²",2006
"Rivitalo | 3h, k, s","Hauhontie 29, Nenäinniemi, Jyväskylä",149 000 €,74 m²,1990
Rivitalo | 3h + k + s + var,"Isännöitsijäntie 45 A, Jyskä, Jyväskylä",199 000 €,94 m²,2007
"Rivitalo | 3h, k, kh, s, terassi","Hietajärventie 3, Tikkakoski, Jyväskylä",153 000 €,"73,5 m²",2008
-1,-1,-1,-1,-1
Omakotitalo | 4h + k + kph + pihasauna,"Teeritie 2, Lehtisaari, Jyväskylä",89 000 €,119 m²,1951
Rivitalo | 3h + k + s,"Vahverontie 2 As, Mäyrämäki, Jyväskylä",108 000 €,75 m²,1973
-1,-1,-1,-1,-1
-1,-1,-1,-1,-1
Kerrostalo | 2h + kt + kph + s + vh + lasitettu parveke,"Pehtorintie 4, Kortepohja, Jyväskylä",162 000 €,"50,5 m²",2014
Kerrostalo | 3h + kph + k + p + var,"Kaakonpyrstö 5, Sulku, Jyväskylä",59 900 €,80 m²,1976
-1,-1,-1,-1,-1
-1,-1,-1,-1,-1
-1,-1,-1,-1,-1
"Omakotitalo | Oh, 3 mh, pukuh / takkah, k, vh, wc, kph, s, at","Aimolantie 27, Ritopohja, Jyväskylä",186 000 €,102 m²,1968
Kerrostalo | 2h + k + kph + parv.,"Sienitie 4, Keltinmäki, Jyväskylä",55 000 €,58 m²,1974
"Kerrostalo | 3h, k, kph, p","Karsikkotie 3, Pupuhuhta, Jyväskylä",55 000 €,81 m²,1976
"Rivitalo | 5h, k, s, tk, kph, wc, vh, 2varasto, p, terassi","Nuottakatu 6, Lohikoski, Jyväskylä",174 000 €,140 m²,1969
"Kerrostalo | 2h, kk, kph, vh, las.p.","Pupuhuhdantie 14, Pupuhuhta, Jyväskylä",46 500 €,"52,5 m²",1979
"Kerrostalo | 3h, k, kph, 2vh, p","Nousukatu 9, Mäki-Matti, Jyväskylä",169 000 €,72 m²,1965
Kerrostalo | 1h + kt + kph,"Syöttäjänkatu 1, Kuokkala, Jyväskylä",20 000 €,35 m²,2018
"Kerrostalo | 3h, k, kh","Tammiperä 6, Jyskä, Jyväskylä",95 000 €,74 m²,1972
"Kerrostalo | 2h, k, kph, las.p.","Vellamonkatu 6, Mäki-Matti, Jyväskylä",125 000 €,52 m²,1963
-1,-1,-1,-1,-1
"Kerrostalo | 2h, k, vh, kph, s, las.p.","Aatoksenkatu 14, Nisula, Jyväskylä",163 000 €,"56,5 m²",1982
"Omakotitalo | 3 mh, th, oh, rt, k, khh, kph, 2wc, ph, s, terassi, p, autokatos","Keulakaari 12, Kinkovuori, Jyväskylä",325 000 €,"151,5 m²",2005
Kerrostalo | 1h + kk + ph + s + p,"Ailakinkatu 15 A, Tourula, Jyväskylä",107 000 €,32 m²,1987
Rivitalo | 4h + k + kph + s + wc + 2vh + p + varasto,"Hauhontie 29 A, Nenäinniemi, Jyväskylä",159 000 €,"83,5 m²",1990
Kerrostalo | 5h + k + kph + 2 x p + wc + vh,"Taitoniekantie 11, Kortepohja, Jyväskylä",157 000 €,106 m²,1972
Rivitalo | 3h + k + kph + s,"Mesikämmen 9, Halssila, Jyväskylä",89 000 €,87 m²,1978
Kerrostalo | 1h + k,"Ryytipolku 4 A, Kuokkala, Jyväskylä",115 500 €,"33,5 m²",2016
Kerrostalo | 3H + K + KPH + VH,"Linnantie 5, Vaajakoski, Jyväskylä",99 000 €,74 m²,1974
Kerrostalo | 2h + k + kh + s + lasitettu parveke,"Tuulimyllyntie 8 A, Myllyjärvi, Jyväskylä",70 000 €,61 m²,1988
Kerrostalo | 2h + k + kph + s + vh + las.parv,"Lyseonkatu 4, Harju, Jyväskylä",222 000 €,56 m²,2008
Kerrostalo | 3h + k + kph + lasitettu parveke,"Pupuhuhdantie 23, Pupuhuhta, Jyväskylä",59 000 €,74 m²,1982
Kerrostalo | 3h + k + kph + s + erill.wc + las.parv,"Ainolankaari 7 B 26, Ainola,, Kuokkala Jyväskylä",195 000 €,71 m²,2001
"Kerrostalo | 3h, k, s, kph, wc, vh, las.p.","Niskakuja 2, Taulumäki, Jyväskylä",159 500 €,"74,5 m²",1989
Kerrostalo | 2h + kk + s,"Liinaharjankatu 7, Mankola, Jyväskylä","17 862,04 €","47,5 m²",2010
"Kerrostalo | 3h, kk","Käyräkatu 9, Mattilanpelto, Jyväskylä",168 000 €,68 m²,1953
"Kerrostalo | 2h, k, kph, p","Silokkaantie 5, Keltinmäki, Jyväskylä",34 000 €,"63,5 m²",1972
Kerrostalo | 1h + k + p,"Vapaudenkatu 77, Keskusta, Jyväskylä",95 000 €,33 m²,1974
"Kerrostalo | 4h, k, kph, wc","Emännäntie 25, Kortepohja, Jyväskylä",104 000 €,81 m²,1973
"Rivitalo | 4h, k, khh, kph, s","Äijäläntie 35, Väinölä, Jyväskylä",209 000 €,"93,5 m²",2005
"Luhtitalo | 2h, k, kph, ransk.p.","Visakoivunkuja 8, Pirttimäki, Jyväskylä",139 500 €,38 m²,2017
Kerrostalo | 2 huonetta + kk + wc + parveke,"Vaajakoskentie 52, Halssila, Jyväskylä",69 000 €,"46,5 m²",1959
Kerrostalo | 2h + kk + kph + ranskalainenparveke,"Voionmaankatu 13, Mäki-Matti, Jyväskylä",109 000 €,43 m²,1960
"Rivitalo | 4h, k, s","Raivaajantie 5 A, Palokka, Jyväskylä",149 000 €,91 m²,1978
"Omakotitalo | 7h, k, s, ph, 2wc, 2vh, ym.","Anttoninkatu 5, Lohikoski, Jyväskylä",399 999 €,270 m²,1970
Kerrostalo | 2h + kk + p,"Pupuhuhdantie 10, Pupuhuhta, Jyväskylä",30 000 €,"52,5 m²",1976
Kerrostalo | 3h + k + s + kh + p,"Saarijärventie 42 A, Mannisenmäki, Jyväskylä",169 000 €,57 m²,2015
Omakotitalo | Oh + 3mh + k + s + kh + wc + at,"Lääkärinkuja 4, Jyväskylä",65 000 €,99 m²,1964
"Kerrostalo | 5h, k, kph, wc, p","Haperontie 7, Keltinmäki, Jyväskylä",104 000 €,"107,5 m²",1982
"Omakotitalo | 4h, avoin olohuone / keittiö, tkh, s, kph, khh / pkh,","Laahanrinne 21, Puuppola, Jyväskylä",489 000 €,"197,5 m²",2017
"Kerrostalo | 3h, k, kh, las.p","Kaakonkoipi 3, Sulku, Jyväskylä",75 000 €,80 m²,1979
"Kerrostalo | 2h, k, kph, parv.","Viitaniementie 4, Viitaniemi, Jyväskylä",124 000 €,51 m²,1962
Rivitalo | 4h + k + kph + s + khh + 2 WC + terassi + parveke + käyttöullakko + halkoliiteri,"Melakuja 6 D, Ristikivi, Jyväskylä",199 000 €,112 m²,1999
"Omakotitalo | 5h, k, khh, ph, 2wc, 2vh, s, 2var, at","Rekoolikatu 4, Äijälä, Jyväskylä",485 000 €,188 m²,2014
"Omakotitalo | 3 makuuhuonetta, olohuone, keittiö, aula, pesuhuon","Saarijärventie 112, Palokka, Jyväskylä",248 000 €,168 m²,1954
"Kerrostalo | 2h, k, kph, wc, vh, parv.","Sananiekantie 6, Kortepohja, Jyväskylä",72 000 €,64 m²,1968
"Omakotitalo | 5h, k, 2wc, s, kph, pukuh, veranta, 2 kell. pannuh","Toinilantie 11, Vesanka, Jyväskylä",110 000 €,104 m²,1960
Kerrostalo | 3H + K + S,"WILHELM SCHILDTIN KATU 22, Kortesuo, Jyväskylä","20 978,05 €",73 m²,2002
Rivitalo | 4h + k + s + t,"Saratie 6, Palokka, Jyväskylä",169 000 €,86 m²,1991
"Omakotitalo | 6h, k, s, autotalli Kortemäki","Piilukko 4, Kortemäki, Jyväskylä",189 500 €,193 m²,1975
-1,-1,-1,-1,-1
"Rivitalo | 3h, k, s, kph, wc, ter, var","Myllytuvantie 2, Myllyjärvi, Jyväskylä",119 000 €,81 m²,1980
"Kerrostalo | 2h, k","Haavikkotie 3, Lohikoski, Jyväskylä","74 922,41 €","58,5 m²",1979
"Rivitalo | 4 h, k, 2xwc, var + s","Taaplaajantie 5, Säynätsalo, Jyväskylä",108 000 €,100 m²,1976
Kerrostalo | 2h + k + kph + lasit.p,"Laikuttajantie 9, Kangaslampi, Jyväskylä",69 500 €,"60,5 m²",1975
"Rivitalo | 3h, k, s, kph, khh, wc, vh, ter, var","Sievisenmäentie 19, Jyskä, Jyväskylä",182 000 €,"83,5 m²",1993
Kerrostalo | 1h + kk + s,"Kurjenkuja 4, Aholaita, Jyväskylä",75 000 €,34 m²,1987
Kerrostalo | 3H + K + S,"VALSSIKUJA 5, Kekkola, Jyväskylä","21 713,6 €",74 m²,2001
Kerrostalo | 2h + k + s,"Heinämutka 3, Heinälampi, Jyväskylä","17 763,14 €","57,5 m²",2008
"Kerrostalo | 2 h, kk, kph, las.parv","Puolukkakuja 9 B 23, Varikko, Jyväskylä",47 000 €,50 m²,1982
"Kerrostalo | 2h, k, kh","Minna Canthin katu 14, Keskusta, Jyväskylä",119 000 €,"58,5 m²",1962
"Rivitalo | 3h, k, kph, vh, ruokakomero, ulkovarasto, terassi, iso piha","Ollilantie 3 As 6, Palokka, Jyväskylä",130 000 €,77 m²,1969
Rivitalo | Oh + 2mh + k + s + kh + vh + wc + p + ter + at,"Kotamäentie 4 A, Kaunisharju, Jyväskylä",119 000 €,85 m²,1980
Rivitalo | 3h + k + kph / s + wc,"Oksalankuja 2, Haapaniemi, Jyväskylä",129 000 €,73 m²,1989
"Omakotitalo | 6h, k, khh, s, 2xWC, uima-allasosasto, vh, 2:n auton talli","Tahvosentie 16, Äijälä, Jyväskylä",550 000 €,350 m²,1971
"Kerrostalo | 1h, kk, alkovi, kph, parveke (lasit.)","Polttolinja 31, Kuokkala, Jyväskylä",92 000 €,"33,5 m²",2012
"Omakotitalo | 5h, k, s, rt, ph, khh, kh, vhx2, kuisti, aula / et","Murrontie 22, Ylä-Kintaus, Jyväskylä",197 000 €,155 m²,2004
"Rivitalo | 4h, k, kph, s, wc, ter","Tavintie 3, Kivistö, Jyväskylä",185 000 €,103 m²,1973
-1,-1,-1,-1,-1
-1,-1,-1,-1,-1
-1,-1,-1,-1,-1
-1,-1,-1,-1,-1
-1,-1,-1,-1,-1
-1,-1,-1,-1,-1
-1,-1,-1,-1,-1
-1,-1,-1,-1,-1
-1,-1,-1,-1,-1
-1,-1,-1,-1,-1
-1,-1,-1,-1,-1
-1,-1,-1,-1,-1
-1,-1,-1,-1,-1
-1,-1,-1,-1,-1
-1,-1,-1,-1,-1
-1,-1,-1,-1,-1
-1,-1,-1,-1,-1
-1,-1,-1,-1,-1
-1,-1,-1,-1,-1
-1,-1,-1,-1,-1
Kerrostalo | 2h + k + s,"Heinämutka 3, Heinälampi, Jyväskylä","17 763,14 €","57,5 m²",2008
"Kerrostalo | 2 h, kk, kph, las.parv","Puolukkakuja 9 B 23, Varikko, Jyväskylä",47 000 €,50 m²,1982
"Kerrostalo | 2h, k, kh","Minna Canthin katu 14, Keskusta, Jyväskylä",119 000 €,"58,5 m²",1962
"Rivitalo | 3h, k, kph, vh, ruokakomero, ulkovarasto, terassi, iso piha","Ollilantie 3 As 6, Palokka, Jyväskylä",130 000 €,77 m²,1969
Rivitalo | Oh + 2mh + k + s + kh + vh + wc + p + ter + at,"Kotamäentie 4 A, Kaunisharju, Jyväskylä",119 000 €,85 m²,1980
Rivitalo | 3h + k + kph / s + wc,"Oksalankuja 2, Haapaniemi, Jyväskylä",129 000 €,73 m²,1989
"Omakotitalo | 6h, k, khh, s, 2xWC, uima-allasosasto, vh, 2:n auton talli","Tahvosentie 16, Äijälä, Jyväskylä",550 000 €,350 m²,1971
"Kerrostalo | 1h, kk, alkovi, kph, parveke (lasit.)","Polttolinja 31, Kuokkala, Jyväskylä",92 000 €,"33,5 m²",2012
"Omakotitalo | 5h, k, s, rt, ph, khh, kh, vhx2, kuisti, aula / et","Murrontie 22, Ylä-Kintaus, Jyväskylä",197 000 €,155 m²,2004
"Rivitalo | 4h, k, kph, s, wc, ter","Tavintie 3, Kivistö, Jyväskylä",185 000 €,103 m²,1973
-1,-1,-1,-1,-1
-1,-1,-1,-1,-1
-1,-1,-1,-1,-1
-1,-1,-1,-1,-1
-1,-1,-1,-1,-1
-1,-1,-1,-1,-1
-1,-1,-1,-1,-1
-1,-1,-1,-1,-1
-1,-1,-1,-1,-1
-1,-1,-1,-1,-1
-1,-1,-1,-1,-1
-1,-1,-1,-1,-1
-1,-1,-1,-1,-1
-1,-1,-1,-1,-1
-1,-1,-1,-1,-1
-1,-1,-1,-1,-1
-1,-1,-1,-1,-1
-1,-1,-1,-1,-1
-1,-1,-1,-1,-1
-1,-1,-1,-1,-1
-1,-1,-1,-1,-1
-1,-1,-1,-1,-1
-1,-1,-1,-1,-1
-1,-1,-1,-1,-1
-1,-1,-1,-1,-1
-1,-1,-1,-1,-1
-1,-1,-1,-1,-1
-1,-1,-1,-1,-1
-1,-1,-1,-1,-1
-1,-1,-1,-1,-1
-1,-1,-1,-1,-1
-1,-1,-1,-1,-1
-1,-1,-1,-1,-1
-1,-1,-1,-1,-1
-1,-1,-1,-1,-1
-1,-1,-1,-1,-1
-1,-1,-1,-1,-1
-1,-1,-1,-1,-1
-1,-1,-1,-1,-1
-1,-1,-1,-1,-1
-1,-1,-1,-1,-1
-1,-1,-1,-1,-1
-1,-1,-1,-1,-1
-1,-1,-1,-1,-1
-1,-1,-1,-1,-1
-1,-1,-1,-1,-1
-1,-1,-1,-1,-1
-1,-1,-1,-1,-1
Kerrostalo | 3h + k,"Pupuhuhdantie 22 A 9, Pupuhuhta, Jyväskylä",73 000 €,78 m²,1977
Kerrostalo | 2H + KT + KPH + VH,"Vapaudenkatu 48, Keskusta, Jyväskylä",196 400 €,43 m²,2017
-1,-1,-1,-1,-1
-1,-1,-1,-1,-1
-1,-1,-1,-1,-1
-1,-1,-1,-1,-1
-1,-1,-1,-1,-1
-1,-1,-1,-1,-1
-1,-1,-1,-1,-1
Rivitalo | 4h + k + kph + s,"Mesikämmen 15, Halssila, Jyväskylä",123 000 €,100 m²,1979
